"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_mcar_pkm","conversion_factor_sec_methanol","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_methanol_emi_co2_f_tra","lifetime","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10506.34004,1.56,"global_scalars.wacc","{}","v1","{'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
2,"DE",2024,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10671.31297,1.57,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
3,"DE",2027,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10588.90901,1.57,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
4,"DE",2030,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10506.50505,1.57,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
9,"DE",2060,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,9957.14531,1.68,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
5,"DE",2035,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10369.16511,1.58,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
6,"DE",2040,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10231.82518,1.57,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
7,"DE",2045,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,10094.48524,1.57,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
8,"DE",2050,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,9957.14531,1.68,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
10,"DE",2070,"tra_road_mcar_ice_pass_methanol_0",0.0,150.0,49.7,893.44538,25177.91597,0.0437,"global_emission_factors.methanol",13.2,9957.14531,1.68,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_methanol': 'Calculated based on 8KrameBothe2022.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Calculated based on 8KrameBothe2022.', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_methanol': '8KrameBothe2022', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8KrameBothe2022', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'capacity_tra_inst_0': 'No pure ICE Methanol vehicles specified in the dataset', 'conversion_factor_sec_methanol': 'No vehicle model available. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
