"id","region","year","type","conversion_factor_exo_road_ltruck_tkm","conversion_factor_sec_cng","ef_sec_cng_emi_ch4_f_tra","ef_sec_cng_emi_co2_f_tra","ef_sec_cng_emi_n2o_f_tra","lifetime","mileage","tonnage","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17087.77341,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
2,"DE",2024,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17081.16012,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
3,"DE",2027,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17074.54682,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
4,"DE",2030,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17067.93353,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
5,"DE",2035,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17056.91137,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
6,"DE",2040,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17045.88921,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
7,"DE",2045,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17034.86705,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
8,"DE",2050,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17023.8449,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
9,"DE",2060,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17023.8449,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
10,"DE",2070,"tra_road_ltruck_ice_frei_cng_0",1000.0,150.0,"7.04","global_emission_factors.cng","0.17",13.8,17023.8449,5.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017.'}","{'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_cng_emi_ch4_f_tra': 'Table 489 LDV', 'ef_sec_cng_emi_n2o_f_tra': 'Table 489 LDV'}"
