"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_lcar_pkm","conversion_factor_sec_hydrogen","cost_fix_tra","cost_inv_tra","cost_var_tra","lifetime","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_lcar_fcev_pass_hydrogen_0",17.0,150.0,23.33,1080.0,45464.70588,0.04202,13.2,10650.65508,1.32,"global_scalars.wacc","{}","v1","{'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
2,"DE",2024,"tra_road_lcar_fcev_pass_hydrogen_0",16.15,150.0,23.33,1080.0,45464.70588,0.04202,13.2,10569.04087,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
3,"DE",2027,"tra_road_lcar_fcev_pass_hydrogen_0",11.9,150.0,23.33,1080.0,45464.70588,0.04202,13.2,10487.42665,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
4,"DE",2030,"tra_road_lcar_fcev_pass_hydrogen_0",8.5,150.0,23.33,1080.0,45464.70588,0.04202,13.2,10405.81243,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
5,"DE",2035,"tra_road_lcar_fcev_pass_hydrogen_0",6.8,150.0,23.33,1080.0,45464.70588,0.04202,13.2,10269.78874,1.34,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
6,"DE",2040,"tra_road_lcar_fcev_pass_hydrogen_0",5.1,150.0,23.33,1080.0,45464.70588,0.04202,13.2,10133.76505,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
7,"DE",2045,"tra_road_lcar_fcev_pass_hydrogen_0",0.85,150.0,23.33,1080.0,45464.70588,0.04202,13.2,9997.74136,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
8,"DE",2050,"tra_road_lcar_fcev_pass_hydrogen_0",0.0,150.0,23.33,1080.0,45464.70588,0.04202,13.2,9861.71767,1.41,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
9,"DE",2060,"tra_road_lcar_fcev_pass_hydrogen_0",0.0,150.0,23.33,1080.0,45464.70588,0.04202,13.2,9861.71767,1.41,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
10,"DE",2070,"tra_road_lcar_fcev_pass_hydrogen_0",0.0,150.0,23.33,1080.0,45464.70588,0.04202,13.2,9861.71767,1.41,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_hydrogen': 'Own assumption', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_hydrogen': '8DLR2023', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'conversion_factor_sec_hydrogen': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'No vehicle model available. Therefore calculated from tra_road_mcar_fcev_pass_hydrogen by reduction over a ratio of 0.7 (the ratio was developed from the BEV S/ BEV M parameters).', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations. Excluding taxes.', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
