"id","region","year","type","conversion_factor_exo_chemi_olefins","conversion_factor_sec_elec_ind","conversion_factor_iip_chemi_naphtha","availability_constant","capacity_w_abs_new_max","cost_inv_w","cost_fix_w","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_olefins_ecrac_nap_1","","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_olefins_ecrac_nap_1","","","","",0.0,"","","","{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_olefins_ecrac_nap_1","","","","",0.0,"","","","{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_olefins_ecrac_nap_1","","","","",0.0,"","","","{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_olefins_ecrac_nap_1","","","","",0.0,"","","","{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_olefins_ecrac_nap_1",1.0,16.92,57.2,90.0,"",1528.8,76.44,25.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_olefins_ecrac_nap_1",1.0,16.92,57.2,90.0,"",1528.8,76.44,25.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_olefins_ecrac_nap_1",1.0,16.92,57.2,90.0,"",1528.8,76.44,25.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_olefins_ecrac_nap_1",1.0,16.92,57.2,90.0,"",1528.8,76.44,25.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_olefins_ecrac_nap_1",1.0,16.92,57.2,90.0,"",1528.8,76.44,25.0,"{}","v1","{}","{}","{}"
