"id","region","year","type","conversion_factor_exo_paper_hq","conversion_factor_sec_elec_ind","conversion_factor_sec_lpg","conversion_factor_sec_heat_district_high_ind","conversion_factor_iip_paper_pulp","ef_sec_methane_emi_ch4_f_ind","ef_sec_lpg_emi_ch4_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_lpg_emi_co2_f_ind","ef_sec_methane_emi_n2o_f_ind","ef_sec_lpg_emi_n2o_f_ind","flow_share_max_sec_hydrogen","capacity_w_abs_new_max","cost_inv_w","cost_fix_w","lifetime","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_paper_hq_finish_1","","","","","","","","","","","","",0.0,"","","","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,0.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,0.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,0.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,20.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,20.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,20.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,20.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,20.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_paper_hq_finish_1",1.0,2.3,0.148,4.5,0.5168,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_lpg_co2",0.0006,0.0042,20.0,"",642.0,145.4545,30.0,0.5168,0.5168,"{}","v1","{}","{}","{}"
