"id","region","year","type","conversion_factor_iip_chemi_process_heat","conversion_factor_sec_elec_ind","availability_constant","capacity_p_abs_new_max","lifetime","capacity_p_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.4477,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.3917,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.3358,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.2798,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.1865,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.0933,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_process_heat_elc_0",1.0,0.92,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
