"id","region","year","type","conversion_factor_iip_chemi_process_heat","conversion_factor_sec_heavy_fuel_oil","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","availability_constant","capacity_p_abs_new_max","cost_inv_p","cost_fix_p","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_process_heat_hfo_1","","","","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_process_heat_hfo_1",1.0,1.17647059,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_process_heat_hfo_1",1.0,1.11764706,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_process_heat_hfo_1",1.0,1.05882353,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_process_heat_hfo_1",1.0,1.02941176,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_process_heat_hfo_1",1.0,1.0,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_process_heat_hfo_1",1.0,0.9706,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_process_heat_hfo_1",1.0,0.9412,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_process_heat_hfo_1",1.0,0.9412,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_process_heat_hfo_1",1.0,0.9412,0.0041,"global_emission_factors.sec_heavy_fuel_oil_co2",0.001,85.0,"",413.247744,34.437312,30.0,"{}","v1","{}","{}","{}"
